,height
0,95.8
1,95.8
2,95.8
3,95.8
4,95.8
5,95.8
6,95.8
7,95.8
8,95.8
9,95.8
10,95.8
11,95.8
12,95.8
13,95.8
14,95.8
15,95.8
16,95.8
17,95.8
18,95.8
19,95.8
20,95.8
21,95.8
22,95.8
23,95.8
24,95.8
25,95.8
26,95.8
27,95.8
28,95.8
29,95.8
30,95.8
31,95.8
32,95.8
33,95.8
34,95.8
35,95.8
36,95.8
37,95.8
38,95.8
39,95.8
40,95.8
41,95.8
42,95.8
43,95.8
44,95.8
45,95.8
46,95.8
47,95.8
48,95.8
49,95.8
50,95.8
51,95.8
52,95.8
53,95.8
54,95.8
55,95.8
56,95.8
57,95.8
58,95.8
59,95.8
60,95.8
61,95.8
62,95.8
63,95.8
64,95.8
65,95.8
66,95.8
67,95.8
68,95.8
69,95.8
70,95.8
71,95.8
72,95.8
73,95.8
74,95.8
75,95.8
76,95.8
77,95.8
78,95.8
79,95.8
80,95.8
81,95.8
82,95.8
83,95.8
84,95.8
85,95.8
86,95.8
87,95.8
88,95.8
89,95.8
90,95.8
91,95.8
92,95.8
93,95.8
94,95.8
95,95.8
96,95.8
97,95.8
98,95.8
99,95.8
100,95.8
101,95.8
102,95.8
103,95.8
104,95.8
105,95.8
106,95.8
107,95.8
108,95.8
109,95.8
110,95.8
111,95.8
112,95.8
113,95.8
114,95.8
115,95.8
116,95.8
117,95.8
118,95.8
119,95.8
120,95.8
121,95.8
122,95.8
123,95.8
124,95.8
125,95.8
126,95.8
127,95.8
128,95.8
129,95.8
130,95.8
131,95.8
132,95.8
133,95.8
134,95.8
135,95.8
136,95.8
137,95.8
138,95.8
139,95.8
140,95.8
141,95.8
142,95.8
143,95.8
144,95.8
145,95.8
146,95.8
147,95.8
148,95.8
149,95.8
150,95.8
151,95.8
152,95.8
153,95.8
154,95.8
155,95.8
156,95.8
157,95.8
158,95.8
159,95.8
160,95.8
161,95.8
162,95.8
163,95.8
164,95.8
165,95.8
166,95.8
167,95.8
168,95.8
169,95.8
170,95.8
171,95.8
172,95.8
173,95.8
174,95.8
175,95.8
176,95.8
177,95.8
178,95.8
179,95.8
180,95.8
181,95.8
182,95.8
183,95.8
184,95.8
185,95.8
186,95.8
187,95.8
188,95.8
189,95.8
190,95.8
191,95.8
192,95.8
193,95.8
194,95.8
195,95.8
196,95.8
197,95.8
198,95.8
199,95.8
200,95.8
201,95.8
202,95.8
203,95.8
204,95.8
205,95.8
206,95.8
207,95.8
208,95.8
209,95.8
210,95.8
211,95.8
212,95.8
213,95.8
214,95.8
215,95.8
216,95.8
217,95.8
218,95.8
219,95.8
220,95.8
221,95.8
222,95.8
223,95.8
224,95.8
225,95.8
226,95.8
227,95.8
228,95.8
229,95.8
230,95.8
231,95.8
232,95.8
233,95.8
234,95.8
235,95.8
236,95.8
237,95.8
238,95.8
239,95.8
240,95.8
241,95.8
242,95.8
243,95.8
244,95.8
245,95.8
246,95.8
247,95.8
248,95.8
249,95.8
250,95.8
251,95.8
252,95.8
253,95.8
254,95.8
255,95.8
256,95.8
257,95.8
258,95.8
259,95.8
260,95.8
261,95.8
262,95.8
263,95.8
264,95.8
265,95.8
266,95.8
267,95.8
268,95.8
269,95.8
270,95.8
271,95.8
272,95.8
273,95.8
274,95.8
275,95.8
276,95.8
277,95.8
278,95.8
279,95.8
280,95.8
281,95.8
282,95.8
283,95.8
284,95.8
285,95.8
286,95.8
287,95.8
288,95.8
289,95.8
290,95.8
291,95.8
292,95.8
293,95.8
294,95.8
295,95.8
296,95.8
297,95.8
298,95.8
299,95.8
300,95.8
301,95.8
302,95.8
303,95.8
304,95.8
305,95.8
306,95.8
307,95.8
308,95.8
309,95.8
310,95.8
311,95.8
312,95.8
313,95.8
314,95.8
315,95.8
316,95.8
317,95.8
318,95.8
319,95.8
320,95.8
321,95.8
322,95.8
323,95.8
324,95.8
325,95.8
326,95.8
327,95.8
328,95.8
329,95.8
330,95.8
331,95.8
332,95.8
333,95.8
334,95.8
335,95.8
336,95.8
337,95.8
338,95.8
339,95.8
340,95.8
341,95.8
342,95.8
343,95.8
344,95.8
345,95.8
346,95.8
347,95.8
348,95.8
349,95.8
350,95.8
351,95.8
352,95.8
353,95.8
354,95.8
355,95.8
356,95.8
357,95.8
358,95.8
359,95.8
360,95.8
361,95.8
362,95.8
363,95.8
364,95.8
365,95.8
366,95.8
367,95.8
368,95.8
369,95.8
370,95.8
371,95.8
372,95.8
373,95.8
374,95.8
375,95.8
376,95.8
377,95.8
378,95.8
379,95.8
380,95.8
381,95.8
382,95.8
383,95.8
384,95.8
385,95.8
386,95.8
387,95.8
388,95.8
389,95.8
390,95.8
391,95.8
392,95.8
393,95.8
394,95.8
395,95.8
396,95.8
397,95.8
398,95.8
399,95.8
400,95.8
401,95.8
402,95.8
403,95.8
404,95.8
405,95.8
406,95.8
407,95.8
408,95.8
409,95.8
410,95.8
411,95.8
412,95.8
413,95.8
414,95.8
415,95.8
416,95.8
417,95.8
418,95.8
419,95.8
420,95.8
421,95.8
422,95.8
423,95.8
424,95.8
425,95.8
426,95.8
427,95.8
428,95.8
429,95.8
430,95.8
431,95.8
432,95.8
433,95.8
434,95.8
435,95.8
436,95.8
437,95.8
438,95.8
439,95.8
440,95.8
441,95.8
442,95.8
443,95.8
444,95.8
445,95.8
446,95.8
447,95.8
448,95.8
449,95.8
450,95.8
451,95.8
452,95.8
453,95.8
454,95.8
455,95.8
456,95.8
457,95.8
458,95.8
459,95.8
460,95.8
461,95.8
462,95.8
463,95.8
464,95.8
465,95.8
466,95.8
467,95.8
468,95.8
469,95.8
470,95.8
471,95.8
472,95.8
473,95.8
474,95.8
475,95.8
476,95.8
477,95.8
478,95.8
479,95.8
480,95.8
481,95.8
482,95.8
483,95.8
484,95.8
485,95.8
486,95.8
487,95.8
488,95.8
489,95.8
490,95.8
491,95.8
492,95.8
493,95.8
494,95.8
495,95.8
496,95.8
497,95.8
498,95.8
499,95.8
500,131.6
501,123.3
502,123.8
503,122.3
504,123.5
505,123.4
506,122.6
507,127.2
508,119.4
509,118.4
510,119.4
511,125.6
512,129.3
513,113.5
514,121.6
515,120.6
516,115.7
517,123.5
518,125.7
519,112.2
520,115.4
521,123.3
522,120.4
523,117.1
524,131.9
525,126.0
526,137.3
527,126.6
528,129.9
529,129.2
530,119.1
531,129.4
532,124.3
533,130.8
534,125.9
535,125.7
536,127.6
537,118.2
538,124.9
539,127.9
540,127.4
541,122.6
542,122.7
543,129.0
544,132.1
545,139.6
546,134.1
547,128.7
548,122.8
549,123.1
550,118.4
551,132.9
552,133.9
553,139.2
554,133.6
555,126.7
556,133.2
557,134.9
