,height
0,131.6
1,123.3
2,123.8
3,122.3
4,123.5
5,123.4
6,122.6
7,127.2
8,119.4
9,118.4
10,119.4
11,125.6
12,129.3
13,113.5
14,121.6
15,120.6
16,115.7
17,123.5
18,125.7
19,112.2
20,115.4
21,123.3
22,120.4
23,117.1
24,131.9
25,126.0
26,137.3
27,126.6
28,129.9
29,129.2
30,119.1
31,129.4
32,124.3
33,130.8
34,125.9
35,125.7
36,127.6
37,118.2
38,124.9
39,127.9
40,127.4
41,122.6
42,122.7
43,129.0
44,132.1
45,139.6
46,134.1
47,128.7
48,122.8
49,123.1
50,118.4
51,132.9
52,133.9
53,139.2
54,133.6
55,126.7
56,133.2
57,134.9
58,140.3
59,130.0
60,134.9
61,129.4
62,126.0
63,134.8
64,142.9
65,132.6
66,127.3
67,130.5
68,132.1
69,129.4
70,131.5
71,137.7
72,123.5
73,121.7
74,133.8
75,140.2
76,133.3
77,144.9
78,139.8
79,135.4
80,145.1
81,140.4
82,141.5
83,139.2
84,146.2
85,141.2
86,132.6
87,151.5
88,151.2
89,147.0
90,141.6
91,135.7
92,144.9
93,149.0
94,142.6
95,138.2
96,136.2
97,127.0
98,124.8
99,149.6
100,148.2
101,139.6
102,145.1
103,132.5
104,144.3
105,140.6
106,139.6
107,149.1
108,153.1
109,146.3
110,148.7
111,155.7
112,145.9
113,145.5
114,154.9
115,143.6
116,139.6
117,138.9
118,134.9
119,144.5
120,135.2
121,147.6
122,157.1
123,138.8
124,157.3
125,152.6
126,143.5
127,150.5
128,155.5
129,150.2
130,151.5
131,149.1
132,149.7
133,162.3
134,155.9
135,156.1
136,130.7
137,156.0
138,161.6
139,145.2
140,158.3
141,148.1
142,150.4
143,153.2
144,120.0
145,126.0
146,123.0
147,129.0
148,117.0
149,123.7
150,118.4
151,126.0
152,106.0
153,120.0
154,120.0
155,125.7
156,116.4
157,128.5
158,118.2
159,136.0
160,126.0
161,118.0
162,129.3
163,121.9
164,129.6
165,130.1
166,128.4
167,128.6
168,130.6
169,115.2
170,125.8
171,125.6
172,122.0
173,122.0
174,117.5
175,123.1
176,128.6
177,119.7
178,132.8
